scent_name;scent_price;scent_story;scent_familia;scent_sex;scent_image1
OpusElite Epic Voyage;999;"In a world where the horizon knows no bounds and the spirit of adventure knows no limits, ""Epic Voyage"" by OpusElite beckons. This fragrance is a tribute to the fearless souls who set sail in search of the extraordinary.";Oriental;men;https://img.freepik.com/premium-photo/luxurious-perfume-bottle-with-black-details-dark-background_7023-57098.jpg
OpusElite Noble Ember;999;"From the heart of ancient forests to the grand halls of chivalrous knights, ""Noble Ember"" by OpusElite captures the essence of valor and strength, ignited like an everlasting ember.";Smoky;men;https://img.freepik.com/premium-photo/luxurious-perfume-bottle-with-black-details-dark-background_7023-57143.jpg
OpusElite Infinite Odyssey;999;"Embark on an odyssey through time and space with ""Infinite Odyssey"" by OpusElite. This fragrance is a chronicle of the past, present, and future—a symphony of experiences that unfold endlessly.";Musk;men;https://img.freepik.com/premium-photo/luxurious-lipstick-with-colored-accents-dark-background_7023-59171.jpg
OpusElite Mystic Vanguard;999;"Unveil the enigma of the unknown with ""Mystic Vanguard"" by OpusElite. This fragrance is a tribute to those who dare to explore the hidden realms, guided by intuition and curiosity.";Leather;men;https://img.freepik.com/premium-photo/mockup-black-fragrance-perfume-bottle-mockup-dark-empty-background_795881-1147.jpg
OpusElite Ember Enigma;999;"Within the shadows lies a mystery waiting to be unraveled, and ""Ember Enigma"" by OpusElite captures that intrigue. This fragrance embodies the smoldering questions that fuel the flames of curiosity.";Oriental;men;https://img.freepik.com/premium-photo/contrasting-tones-highlighting-black-cosmetic-bottle-with-backlighting-ai-generated_201606-7043.jpg
OpusElite Enchanted Elixir;999;"In the heart of a moonlit garden, where flowers bloom under the watchful gaze of the stars, ""Enchanted Elixir"" by OpusElite weaves its spell. This fragrance embodies the enchantment that dances on the petals and in the air, evoking an aura of magic that is impossible to resist.";Oriental;women;https://img.freepik.com/free-photo/bottle-perfume-with-word-lm-it_1340-38033.jpg
OpusElite Lumina Serenade;999;"Beneath the dazzling lights of an enchanted ballroom, ""Lumina Serenade"" by OpusElite orchestrates a symphony of elegance and grace. This fragrance captures the essence of a dance where every note sparkles with joy.";Musky;women;https://img.freepik.com/free-photo/purple-bottle-perfume-with-gold-top-word-perfume-bottom_1340-38122.jpg
OpusElite Whispering Willow;999;"Amidst the tranquility of a hidden forest glade, the ""Whispering Willow"" by OpusElite captures the gentle secrets exchanged by the wind and the trees. This fragrance is an ode to the beauty found in the hushed moments of nature.";Musky;women;https://img.freepik.com/free-photo/bottle-perfume-with-gold-top-that-says-perfume_1340-38017.jpg
OpusElite Celestial Bloom;999;"In a realm where stars twinkle within the petals of flowers, ""Celestial Bloom"" by OpusElite brings forth a floral symphony that resonates with the magic of the cosmos.";Oriental;women;https://img.freepik.com/free-photo/bottle-perfume-with-gold-top-that-says-perfume-it_1340-38007.jpg
OpusElite Velvet Sonata;999;"With the elegance of a timeless sonata and the luxurious touch of velvet, ""Velvet Sonata"" by OpusElite paints a picture of sophistication and grace. This fragrance is the embodiment of a symphony of textures and notes.";Oriental;women;https://img.freepik.com/free-photo/blue-bottle-perfume-with-word-fountain-conti_1340-37490.jpg