trousers_name;trousers_price;trousers_color;trouser_origin;trousers_material;trousers_sex;trousers_image1;trousers_image2;trousers_image3
FLAT-FRONT TROUSERS IN MICRO-PATTERNED VIRGIN WOOL;799;Light Beige;Italy;Virgin Wool;men;https://images.hugoboss.com/is/image/boss/hbna50492993_271_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692300240000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50492993_271_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692300240000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50492993_271_100?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692300240000&wid=1200&hei=1818&fmt=webp
TUXEDO TROUSERS IN VIRGIN-WOOL SERGE;899;Black;Italy;Virgin Wool;men;https://images.hugoboss.com/is/image/boss/hbna50469186_001_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1690994874000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50469186_001_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1690994874000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50469186_001_100?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1690994874000&wid=1200&hei=1818&fmt=webp
TUXEDO TROUSERS IN VIRGIN-WOOL SERGE BL;899;Blue;Italy;Virgin Wool;men;https://images.hugoboss.com/is/image/boss/hbna50469186_401_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1691001052000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50469186_401_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1691001052000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50469186_401_100?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1691001052000&wid=1200&hei=1818&fmt=webp
FORMAL TROUSERS IN VIRGIN-WOOL SERGE;999;Black;Italy;Virgin Wool;men;https://images.hugoboss.com/is/image/boss/hbna50469174_001_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1689191961000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50469174_001_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1689191961000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50469174_001_100?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1689191961000&wid=1200&hei=1818&fmt=webp
FORMAL TROUSERS IN VIRGIN-WOOL SERGE DG;999;Dark Grey;Italy;Virgin Wool;men;https://images.hugoboss.com/is/image/boss/hbna50469174_021_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1691001054000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50469174_021_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1691001054000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50469174_021_100?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1691001054000&wid=1200&hei=1818&fmt=webp
SLIM-FIT TROUSERS IN WOVEN FABRIC WITH MONOGRAM BUTTONS;699;Grey;Italy ;Virgin Wool;women;https://images.hugoboss.com/is/image/boss/hbna50500385_960_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692936984000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50500385_960_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692936984000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50500385_960_100?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692936984000&wid=1200&hei=1818&fmt=webp
CROPPED REGULAR-FIT TROUSERS IN WOOL BLC;699;Black;Italy ;Virgin Wool;women;https://images.hugoboss.com/is/image/boss/hbna50490051_001_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1688801290000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50490051_001_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1688801290000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50490051_001_100?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1688801290000&wid=1200&hei=1818&fmt=webp
CROPPED REGULAR-FIT TROUSERS IN WOOL;699;Dark Blue;Italy ;Virgin Wool;women;https://images.hugoboss.com/is/image/boss/hbna50490051_404_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1691005774000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50490051_404_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1691005774000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50490051_404_100?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1691005774000&wid=1200&hei=1818&fmt=webp
REGULAR-FIT TROUSERS IN GLOSSY STRETCH MATERIAL;599;Beige;Italy ;Virgin Wool;women;https://images.hugoboss.com/is/image/boss/hbna50494121_260_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1691025056000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50494121_260_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1691025056000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50494121_260_100?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1691025056000&wid=1200&hei=1818&fmt=webp
REGULAR-FIT TROUSERS IN CHECKED VIRGIN WOOL;599;Grey;Italy ;Virgin Wool;women;https://images.hugoboss.com/is/image/boss/hbna50501578_983_300?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692936987000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50501578_983_350?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692936987000&wid=1200&hei=1818&fmt=webp;https://images.hugoboss.com/is/image/boss/hbna50501578_983_100?$re_fullPageZoom$&qlt=85&fit=crop,1&align=1,1&lastModified=1692936987000&wid=1200&hei=1818&fmt=webp